Year,Market_Cap_Millions,Ticker
2022,2496000,APPL
2022,66800,ABNB
2022,183440,ADBE
2022,84750,ADI
2022,91230,ADP
2022,42520,ADSK
2022,49200,AEP
2022,19860,ALGN
2022,87860,AMAT
2022,141860,AMD
2022,132870,AMGN
2022,1233000,AMZN
2022,22440,ANSS
2022,214080,ASML
2022,62280,ATVI
2022,207200,AVGO
2022,205030,AZN
2022,48460,BIDU
2022,30120,BIIB
2022,74530,BKNG
2022,45920,CDNS
2022,17960,CEG
2022,80400,CHTR
2022,190270,CMCSA
2022,234390,COST
2022,28720,CPRT
2022,42380,CRWD
2022,183610,CSCO
2022,67130,CSX
2022,40350,CTAS
2022,35550,CTSH
2022,28510,DDOG
2022,37820,DLTR
2022,12680,DOCU
2022,37040,DOW
2022,32420,DXCM
2022,36360,EA
2022,26070,EBAY
2022,43540,EXC
2022,27760,FAST
2022,63380,FISV
2022,48960,FTNT
2022,76200,GILD
2022,1425000,GOOG
2022,1416000,GOOGL
2022,123390,HON
2022,31550,IDXX
2022,31340,ILMN
2022,160110,INTC
2022,120220,INTU
2022,78270,ISRG
2022,98360,JD
2022,52150,KDP
2022,46980,KHC
2022,50030,KLAC
2022,31260,LCID
2022,63460,LRCX
2022,38460,LULU
2022,50070,MAR
2022,35820,MCHP
2022,86860,MDLZ
2022,38430,MELI
2022,451010,META
2022,50760,MNST
2022,65900,MRNA
2022,43100,MRVL
2022,1936000,MSFT
2022,20380,MTCH
2022,66350,MU
2022,97170,NFLX
2022,63580,NTES
2022,425600,NVDA
2022,45720,NXPI
2022,31230,ODFL
2022,15640,OKTA
2022,45040,ORLY
2022,50340,PANW
2022,43740,PAYX
2022,29910,PCAR
2022,71070,PDD
2022,234410,PEP
2022,94550,PYPL
2022,171640,QCOM
2022,64510,REGN
2022,28910,ROST
2022,93470,SBUX
2022,31820,SGEN
2022,25110,SIRI
2022,51650,SNPS
2022,16630,SPLK
2022,17030,SWKS
2022,49700,TEAM
2022,168680,TMUS
2022,841130,TSLA
2022,150490,TXN
2022,28860,VRSK
2022,19880,VRSN
2022,72550,VRTX
2022,33490,WBA
2022,37830,XEL
2022,31660,ZM
2022,22140,ZS
